Cruzeiro do Sul;RS 14 - Paranavaí;...;...;...
Cruzmaltina;RS 22 - Ivaiporã;...;...;...
Curitiba;RS 02 - Curitiba;819.390;739.811;472.831
Curiúva;RS 21 - Telêmaco Borba;...;...;...
Diamante D'Oeste;RS 20 - Toledo;...;...;...
Diamante do Norte;RS 14 - Paranavaí;1.288;1.146;1.228
Diamante do Sul;RS 10 - Cascavel;...;...;...
Dois Vizinhos;RS 08 - Francisco Beltrão;11.515;10.017;8.678
Douradina;RS 12 - Umuarama;...;...;...
Doutor Camargo;RS 15 - Maringá;1.235;1.154;1.191
Doutor Ulysses;RS 02 - Curitiba;330;314;330
Enéas Marques;RS 08 - Francisco Beltrão;...;...;...
Engenheiro Beltrão;RS 11 - Campo Mourão;1.096;847;986
Entre Rios do Oeste;RS 20 - Toledo;...;...;...
Esperança Nova;RS 12 - Umuarama;...;...;...
Espigão Alto do Iguaçu;RS 10 - Cascavel;...;...;...
Farol;RS 11 - Campo Mourão;...;...;...
Faxinal;RS 16 - Apucarana;2.847;2.539;2.641
Fazenda Rio Grande;RS 02 - Curitiba;50.413;47.795;46.662
Fênix;RS 11 - Campo Mourão;...;...;...
Fernandes Pinheiro;RS 04 - Irati;...;...;...
Figueira;RS 19 - Jacarezinho;379;335;355
Flor da Serra do Sul;RS 08 - Francisco Beltrão;...;...;...
Floraí;RS 15 - Maringá;602;462;562
Floresta;RS 15 - Maringá;...;...;...
Florestópolis;RS 17 - Londrina;3.002;2.769;2.920
Flórida;RS 15 - Maringá;1.085;1.051;1.085
Formosa do Oeste;RS 10 - Cascavel;...;...;...
Foz do Iguaçu;RS 09 - Foz do Iguaçu;99.029;88.722;75.820
Foz do Jordão;RS 05 - Guarapuava;...;...;...
Francisco Alves;RS 12 - Umuarama;1.590;1.432;1.512
Francisco Beltrão;RS 08 - Francisco Beltrão;30.600;26.759;22.065
General Carneiro;RS 06 - União da Vitória;1.429;1.318;1.344
Godoy Moreira;RS 22 - Ivaiporã;...;...;...
Goioerê;RS 11 - Campo Mourão;6.993;6.119;6.606
Goioxim;RS 05 - Guarapuava;...;...;...
Grandes Rios;RS 16 - Apucarana;...;...;...
Guaíra;RS 20 - Toledo;8.668;7.407;7.645
Guairaçá;RS 14 - Paranavaí;...;...;...
Guamiranga;RS 04 - Irati;...;...;...
Guapirama;RS 19 - Jacarezinho;1.484;1.353;1.473
Guaporema;RS 13 - Cianorte;...;...;...
Guaraci;RS 17 - Londrina;...;...;...
Guaraniaçu;RS 10 - Cascavel;2.193;1.813;1.897
Guarapuava;RS 05 - Guarapuava;60.576;56.386;48.798
Guaraqueçaba;RS 01 - Paranaguá;1.002;892;971
Guaratuba;RS 01 - Paranaguá;23.394;21.984;20.157
Honório Serpa;RS 07 - Pato Branco;...;...;...
Ibaiti;RS 19 - Jacarezinho;2.638;2.243;2.396
Ibema;RS 10 - Cascavel;...;...;...
Ibiporã;RS 17 - Londrina;21.435;19.481;20.624
Icaraíma;RS 12 - Umuarama;251;244;244
Iguaraçu;RS 15 - Maringá;...;...;...
Iguatu;RS 10 - Cascavel;...;...;...
Imbaú;RS 21 - Telêmaco Borba;2.083;1.886;1.944
Imbituva;RS 04 - Irati;6.371;5.835;5.968
Inácio Martins;RS 04 - Irati;1.023;889;923
Inajá;RS 14 - Paranavaí;...;...;...
Indianópolis;RS 13 - Cianorte;...;...;...
Ipiranga;RS 03 - Ponta Grossa;1.856;1.609;1.776
Iporã;RS 12 - Umuarama;2.802;2.284;2.522
Iracema do Oeste;RS 10 - Cascavel;...;...;...
Irati;RS 04 - Irati;18.710;17.038;16.830
Iretama;RS 11 - Campo Mourão;...;...;...
Itaguajé;RS 15 - Maringá;...;...;...
Itaipulândia;RS 09 - Foz do Iguaçu;1.713;1.456;1.533
Itambaracá;RS 18 - Cornélio Procópio;1.841;1.841;1.841
Itambé;RS 15 - Maringá;1.904;1.762;1.812
Itapejara d'Oeste;RS 07 - Pato Branco;...;...;...
Itaperuçu;RS 02 - Curitiba;3.411;3.101;3.016
Itaúna do Sul;RS 14 - Paranavaí;...;...;...
Ivaí;RS 03 - Ponta Grossa;2.103;1.859;1.978
Ivaiporã;RS 22 - Ivaiporã;3.562;2.902;3.116
Ivaté;RS 12 - Umuarama;1.477;1.306;1.429
Ivatuba;RS 15 - Maringá;...;...;...
Jaboti;RS 19 - Jacarezinho;236;195;227
Jacarezinho;RS 19 - Jacarezinho;14.661;13.428;14.029
Jaguapitã;RS 17 - Londrina;6.849;6.396;5.865
Jaguariaíva;RS 03 - Ponta Grossa;10.818;10.172;10.818
Jandaia do Sul;RS 16 - Apucarana;5.067;4.457;4.504
Janiópolis;RS 11 - Campo Mourão;...;...;...
Japira;RS 19 - Jacarezinho;...;...;...
Japurá;RS 13 - Cianorte;2.950;2.733;2.908
Jardim Alegre;RS 22 - Ivaiporã;1.267;1.120;1.217
Jardim Olinda;RS 14 - Paranavaí;...;...;...
Jataizinho;RS 17 - Londrina;4.365;4.170;4.234
Jesuítas;RS 10 - Cascavel;...;...;...
Joaquim Távora;RS 19 - Jacarezinho;4.225;3.808;4.151
Jundiaí do Sul;RS 19 - Jacarezinho;...;...;...
Juranda;RS 11 - Campo Mourão;...;...;...
Jussara;RS 13 - Cianorte;3.215;3.119;3.049
Kaloré;RS 16 - Apucarana;...;...;...
Lapa;RS 02 - Curitiba;10.629;9.596;9.596
Laranjal;RS 05 - Guarapuava;...;...;...
Laranjeiras do Sul;RS 05 - Guarapuava;5.746;5.013;4.719
Leópolis;RS 18 - Cornélio Procópio;...;...;...
Lidianópolis;RS 22 - Ivaiporã;...;...;...
Lindoeste;RS 10 - Cascavel;...;...;...
Loanda;RS 14 - Paranavaí;7.735;6.817;7.160
Lobato;RS 15 - Maringá;1.935;1.803;1.932
Londrina;RS 17 - Londrina;248.317;221.955;155.276
Luiziana;RS 11 - Campo Mourão;...;...;...
Lunardelli;RS 22 - Ivaiporã;761;680;737
Lupionópolis;RS 17 - Londrina;...;...;...
Mallet;RS 04 - Irati;1.598;1.362;1.420
Mamborê;RS 11 - Campo Mourão;3.977;3.595;3.787
Mandaguaçu;RS 15 - Maringá;4.184;3.656;3.476
Mandaguari;RS 15 - Maringá;11.256;10.265;10.438
Mandirituba;RS 02 - Curitiba;2.003;1.732;1.822
Manfrinópolis;RS 08 - Francisco Beltrão;...;...;...
Mangueirinha;RS 07 - Pato Branco;3.514;3.077;3.138
Manoel Ribas;RS 22 - Ivaiporã;1.037;886;980
Marechal Cândido Rondon;RS 20 - Toledo;8.221;7.106;6.852
Maria Helena;RS 12 - Umuarama;...;...;...
Marialva;RS 15 - Maringá;10.612;9.559;10.612
Marilândia do Sul;RS 16 - Apucarana;1.367;1.240;1.317
Marilena;RS 14 - Paranavaí;...;...;...
Mariluz;RS 12 - Umuarama;1.621;1.621;1.601
Maringá;RS 15 - Maringá;192.814;170.903;127.084
Mariópolis;RS 07 - Pato Branco;...;...;...
Maripá;RS 20 - Toledo;...;...;...
Marmeleiro;RS 08 - Francisco Beltrão;2.860;2.463;2.381
Marquinho;RS 05 - Guarapuava;...;...;...
Marumbi;RS 16 - Apucarana;...;...;...
Matelândia;RS 09 - Foz do Iguaçu;4.478;4.170;4.234
Matinhos;RS 01 - Paranaguá;33.021;31.480;25.370
Mato Rico;RS 22 - Ivaiporã;...;...;...
Mauá da Serra;RS 16 - Apucarana;...;...;...
Medianeira;RS 09 - Foz do Iguaçu;9.252;7.906;7.249
Mercedes;RS 20 - Toledo;...;...;...
Mirador;RS 14 - Paranavaí;...;...;...
Miraselva;RS 17 - Londrina;...;...;...
Missal;RS 09 - Foz do Iguaçu;...;...;...
Moreira Sales;RS 11 - Campo Mourão;969;860;928
Morretes;RS 01 - Paranaguá;3.268;2.874;3.040
Munhoz de Melo;RS 15 - Maringá;...;...;...
Nossa Senhora das Graças;RS 15 - Maringá;...;...;...
Nova Aliança do Ivaí;RS 14 - Paranavaí;...;...;...
Nova América da Colina;RS 18 - Cornélio Procópio;295;253;278
Nova Aurora;RS 10 - Cascavel;2.746;2.467;2.574
Nova Cantu;RS 11 - Campo Mourão;...;...;...
Nova Esperança;RS 15 - Maringá;7.663;6.730;6.710
Nova Esperança do Sudoeste;RS 08 - Francisco Beltrão;...;...;...
Nova Fátima;RS 18 - Cornélio Procópio;...;...;...
Nova Laranjeiras;RS 05 - Guarapuava;967;827;828
Nova Londrina;RS 14 - Paranavaí;4.809;4.286;4.631
Nova Olímpia;RS 12 - Umuarama;1.193;1.095;1.140
Nova Prata do Iguaçu;RS 08 - Francisco Beltrão;...;...;...
Nova Santa Bárbara;RS 18 - Cornélio Procópio;...;...;...
Nova Santa Rosa;RS 20 - Toledo;...;...;...
Nova Tebas;RS 22 - Ivaiporã;...;...;...
Novo Itacolomi;RS 16 - Apucarana;...;...;...
Ortigueira;RS 21 - Telêmaco Borba;4.119;3.817;3.763
Ourizona;RS 15 - Maringá;...;...;...
Ouro Verde do Oeste;RS 20 - Toledo;...;...;...
Paiçandu;RS 15 - Maringá;16.397;15.233;15.579
Palmas;RS 07 - Pato Branco;12.352;11.296;10.488
Palmeira;RS 03 - Ponta Grossa;8.567;7.778;8.178
Palmital;RS 05 - Guarapuava;1.900;1.706;1.721
Palotina;RS 20 - Toledo;9.866;8.831;8.634
Paraíso do Norte;RS 14 - Paranavaí;4.314;3.882;4.095
