Coronel Domingos Soares;RS 07 - Pato Branco;1.252;1.129;1.162
Coronel Vivida;RS 07 - Pato Branco;7.650;6.883;6.644
Corumbataí do Sul;RS 11 - Campo Mourão;1.198;1.087;1.165
Cruz Machado;RS 06 - União da Vitória;2.517;2.210;2.309
Cruzeiro do Iguaçu;RS 08 - Francisco Beltrão;1.545;1.380;1.467
Cruzeiro do Oeste;RS 12 - Umuarama;9.201;8.430;8.911
Cruzeiro do Sul;RS 14 - Paranavaí;1.709;1.558;1.669
Cruzmaltina;RS 22 - Ivaiporã;906;818;880
Curitiba;RS 02 - Curitiba;834.249;751.275;504.988
Curiúva;RS 21 - Telêmaco Borba;4.441;4.059;4.192
Diamante D'Oeste;RS 20 - Toledo;1.360;1.215;1.236
Diamante do Norte;RS 14 - Paranavaí;2.009;1.791;1.909
Diamante do Sul;RS 10 - Cascavel;749;658;701
Dois Vizinhos;RS 08 - Francisco Beltrão;16.276;14.461;13.079
Douradina;RS 12 - Umuarama;3.761;3.424;3.595
Doutor Camargo;RS 15 - Maringá;2.915;2.683;2.817
Doutor Ulysses;RS 02 - Curitiba;714;621;710
Enéas Marques;RS 08 - Francisco Beltrão;1.009;858;899
Engenheiro Beltrão;RS 11 - Campo Mourão;5.610;4.990;5.309
Entre Rios do Oeste;RS 20 - Toledo;1.789;1.282;1.721
Esperança Nova;RS 12 - Umuarama;690;596;651
Espigão Alto do Iguaçu;RS 10 - Cascavel;979;879;914
Farol;RS 11 - Campo Mourão;890;811;868
Faxinal;RS 16 - Apucarana;6.575;6.041;6.266
Fazenda Rio Grande;RS 02 - Curitiba;57.386;54.367;53.489
Fênix;RS 11 - Campo Mourão;1.918;1.762;1.851
Fernandes Pinheiro;RS 04 - Irati;1.191;1.082;1.126
Figueira;RS 19 - Jacarezinho;3.299;3.035;3.180
Flor da Serra do Sul;RS 08 - Francisco Beltrão;1.207;1.054;1.097
Floraí;RS 15 - Maringá;2.456;2.211;2.354
Floresta;RS 15 - Maringá;5.022;4.710;4.904
Florestópolis;RS 17 - Londrina;5.011;4.668;4.884
Flórida;RS 15 - Maringá;1.940;1.744;1.940
Formosa do Oeste;RS 10 - Cascavel;2.820;2.557;2.662
Foz do Iguaçu;RS 09 - Foz do Iguaçu;121.633;110.066;98.392
Foz do Jordão;RS 05 - Guarapuava;2.062;1.890;1.907
Francisco Alves;RS 12 - Umuarama;3.007;2.735;2.885
Francisco Beltrão;RS 08 - Francisco Beltrão;37.782;33.399;29.162
General Carneiro;RS 06 - União da Vitória;3.574;3.226;3.325
Godoy Moreira;RS 22 - Ivaiporã;990;908;958
Goioerê;RS 11 - Campo Mourão;12.045;10.895;11.563
Goioxim;RS 05 - Guarapuava;1.079;972;1.017
Grandes Rios;RS 16 - Apucarana;1.894;1.719;1.842
Guaíra;RS 20 - Toledo;12.205;10.693;10.947
Guairaçá;RS 14 - Paranavaí;2.453;2.267;2.373
Guamiranga;RS 04 - Irati;1.493;1.365;1.440
Guapirama;RS 19 - Jacarezinho;1.782;1.633;1.769
Guaporema;RS 13 - Cianorte;891;803;864
Guaraci;RS 17 - Londrina;1.954;1.785;1.904
Guaraniaçu;RS 10 - Cascavel;4.081;3.549;3.670
Guarapuava;RS 05 - Guarapuava;71.218;66.153;58.165
Guaraqueçaba;RS 01 - Paranaguá;1.073;949;1.042
Guaratuba;RS 01 - Paranaguá;27.918;26.325;24.316
Honório Serpa;RS 07 - Pato Branco;1.149;1.015;1.058
Ibaiti;RS 19 - Jacarezinho;11.106;10.108;10.543
Ibema;RS 10 - Cascavel;2.485;2.234;2.247
Ibiporã;RS 17 - Londrina;23.589;21.245;22.865
Icaraíma;RS 12 - Umuarama;4.044;3.541;3.692
Iguaraçu;RS 15 - Maringá;3.025;3.025;2.360
Iguatu;RS 10 - Cascavel;779;703;742
Imbaú;RS 21 - Telêmaco Borba;4.144;3.858;3.913
Imbituva;RS 04 - Irati;9.114;8.364;8.595
Inácio Martins;RS 04 - Irati;2.528;2.308;2.286
Inajá;RS 14 - Paranavaí;1.192;1.090;1.158
Indianópolis;RS 13 - Cianorte;1.835;1.653;1.734
Ipiranga;RS 03 - Ponta Grossa;2.622;2.340;2.529
